Satellite_ID,Launch_Date,Expected_Lifetime_years,Age_current_years,Launch_Mass_kg,Purpose,Contractor_Tier,Operator_Tier,AgeFactor,CQI,HI,MRI,SVI,Operator_Heritage_Index,Infant_Mortality_Flag,TechnicalReliabilityIndex,w_age,w_tech,w_ops,w_err,w_CQI,w_HI,w_MRI,w_SVI,Operational_Risk_Score
SAT-0001,2013-10-23,11.78,11.97,475.5,Communications,1,3,1.0,0.5,0.2,0.7,0.8,0.7,0.1,0.465,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.6
SAT-0002,2008-06-17,3.7,17.32,80.5,Navigation,1,1,1.0,0.7,0.2,0.7,0.4,0.1,0.1,0.455,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,51.2
SAT-0003,2006-05-21,3.25,19.4,1916.1,Earth Observation,3,1,1.0,0.3,0.8,0.3,0.6,0.1,0.1,0.545,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.8
SAT-0004,2022-02-12,5.18,3.67,924.7,Science,1,3,0.708,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,44.2
SAT-0005,2019-12-17,8.18,5.82,263.8,Technology Demo,1,1,0.712,0.5,0.2,0.7,0.4,0.1,0.1,0.405,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,40.6
SAT-0006,2018-06-16,6.51,7.33,779.0,Communications,1,1,1.0,0.3,0.2,0.3,0.8,0.1,0.1,0.335,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,46.4
SAT-0007,2015-07-02,5.4,10.28,393.2,Science,3,1,1.0,0.5,0.8,0.7,0.4,0.1,0.1,0.645,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.8
SAT-0008,2022-05-17,10.29,3.41,592.9,Science,1,3,0.331,0.3,0.2,0.3,0.4,0.7,0.1,0.275,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,32.9
SAT-0009,2009-08-13,14.59,16.17,474.6,Science,2,1,1.0,0.5,0.5,0.7,0.4,0.1,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,54.0
SAT-0010,2016-12-24,11.21,8.8,51.5,Technology Demo,3,2,0.785,0.7,0.8,0.7,0.4,0.4,0.1,0.695,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.9
SAT-0011,2007-08-07,3.41,18.19,249.1,Communications,1,3,1.0,0.5,0.2,0.7,0.8,0.7,0.1,0.465,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.6
SAT-0012,2015-05-20,6.74,10.4,332.3,Technology Demo,2,2,1.0,0.5,0.5,0.7,0.4,0.4,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,58.5
SAT-0013,2010-04-13,14.64,15.5,869.7,Earth Observation,1,2,1.0,0.3,0.2,0.3,0.6,0.4,0.1,0.305,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,49.7
SAT-0014,2007-05-07,10.17,18.44,4737.1,Communications,1,2,1.0,0.3,0.2,0.6,0.8,0.4,0.1,0.395,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,53.3
SAT-0015,2019-04-12,3.54,6.51,100.4,Communications,2,2,1.0,0.5,0.5,0.7,0.8,0.4,0.1,0.585,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,60.9
SAT-0016,2018-08-25,12.94,7.14,137.9,Science,2,1,0.551,0.5,0.5,0.7,0.4,0.1,0.1,0.525,0.3,0.4,0.15,0.15,0.25,0.4,0.2,0.15,40.5
