satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,ORBIT_CLASS,bors_score,age_factor,tri,operator_heritage_index,infant_mortality_flag,cqi,hi,mri,svi,age_years,expected_lifetime_years,launch_mass_kg,contractor_tier,operator_tier,purpose
2,SPUTNIK 1,CIS,PAYLOAD,572.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,68.03,12,800.0,3,3,Communications
3,SPUTNIK 2,CIS,PAYLOAD,935.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,67.95,12,800.0,3,3,Communications
4,EXPLORER 1,US,PAYLOAD,199.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,67.7,12,800.0,3,3,Communications
8,SPUTNIK 3,CIS,PAYLOAD,197.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,67.42,12,800.0,3,3,Communications
9,EXPLORER 4,US,PAYLOAD,412.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,67.22,12,800.0,3,3,Communications
10,SCORE,US,PAYLOAD,673.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.82,12,800.0,3,3,Communications
11,VANGUARD 2,US,PAYLOAD,1726.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.66,12,800.0,3,3,Communications
13,DISCOVERER 1,US,PAYLOAD,405.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.63,12,800.0,3,3,Communications
14,DISCOVERER 2,US,PAYLOAD,292.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.51,12,800.0,3,3,Communications
18,DISCOVERER 5,US,PAYLOAD,230.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.17,12,800.0,3,3,Communications
19,DISCOVERER 6,US,PAYLOAD,320.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.15,12,800.0,3,3,Communications
20,VANGUARD 3,US,PAYLOAD,1859.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.07,12,800.0,3,3,Communications
22,EXPLORER 7,US,PAYLOAD,500.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.0,12,800.0,3,3,Communications
24,DISCOVERER 7,US,PAYLOAD,350.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,65.94,12,800.0,3,3,Communications
25,DISCOVERER 8,US,PAYLOAD,177.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,65.9,12,800.0,3,3,Communications
26,DISCOVERER 5 CAPSULE,US,PAYLOAD,211.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,66.17,12,800.0,3,3,Communications
29,TIROS 1,US,PAYLOAD,635.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,65.54,12,800.0,3,3,Communications
31,TRANSIT 1B,US,PAYLOAD,210.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,65.5,12,800.0,3,3,Communications
