satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,INCLINATION,ORBIT_CLASS,collision_score,pc_annual,pc_annual_pct,n_events_total,n_high_risk,n_medium_risk,n_low_risk,n_emergency,avg_miss_distance_m,min_miss_distance_m,max_pc_event,max_pc_event_pct,events_per_month_estimated,data_quality,data_source,extrapolated,data_period_days,imputation_confidence,n_peers_used
2,SPUTNIK 1,CIS,PAYLOAD,572.0,65.0,LEO,59.1,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_3,False,0,LOW,3.0
3,SPUTNIK 2,CIS,PAYLOAD,935.0,65.33,LEO,83.8,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_16,False,0,MEDIUM,16.0
4,EXPLORER 1,US,PAYLOAD,199.0,33.15,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
8,SPUTNIK 3,CIS,PAYLOAD,197.0,65.06,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
9,EXPLORER 4,US,PAYLOAD,412.0,50.25,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
10,SCORE,US,PAYLOAD,673.0,32.29,LEO,63.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_3,False,0,LOW,3.0
11,VANGUARD 2,US,PAYLOAD,1726.0,32.87,LEO,82.5,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
13,DISCOVERER 1,US,PAYLOAD,405.5,90.0,LEO,84.9,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_5,False,0,MEDIUM,5.0
14,DISCOVERER 2,US,PAYLOAD,292.5,89.9,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
18,DISCOVERER 5,US,PAYLOAD,230.0,79.99,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
19,DISCOVERER 6,US,PAYLOAD,320.0,84.0,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
20,VANGUARD 3,US,PAYLOAD,1859.5,33.34,LEO,15.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
22,EXPLORER 7,US,PAYLOAD,500.5,50.27,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
24,DISCOVERER 7,US,PAYLOAD,350.0,81.64,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
25,DISCOVERER 8,US,PAYLOAD,177.0,80.65,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
26,DISCOVERER 5 CAPSULE,US,PAYLOAD,211.5,78.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
29,TIROS 1,US,PAYLOAD,635.0,48.38,LEO,100.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_1,False,0,LOW,1.0
31,TRANSIT 1B,US,PAYLOAD,210.5,51.2,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
32,DISCOVERER 11,US,PAYLOAD,259.5,80.1,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
34,SPUTNIK 4,CIS,PAYLOAD,167.0,64.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
36,SPUTNIK 4 CABIN,CIS,PAYLOAD,188.5,64.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
43,MIDAS 2,US,PAYLOAD,166.5,33.05,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
45,TRANSIT 2A,US,PAYLOAD,773.0,66.69,LEO,85.2,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_31,False,0,MEDIUM,31.0
46,SOLRAD 1 (GREB),US,PAYLOAD,712.0,66.69,LEO,85.8,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_25,False,0,MEDIUM,25.0
48,DISCOVERER 13,US,PAYLOAD,244.0,82.85,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
49,ECHO 1,US,PAYLOAD,406.5,47.19,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
55,SPUTNIK 5,CIS,PAYLOAD,307.0,64.9,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
57,DISCOVERER 15,US,PAYLOAD,224.0,80.9,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
58,COURIER 1B,US,PAYLOAD,1085.0,28.33,LEO,15.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
60,EXPLORER 8,US,PAYLOAD,167.5,49.88,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
61,DISCOVERER 17,US,PAYLOAD,196.0,81.86,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
63,TIROS 2,US,PAYLOAD,161.5,48.44,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
65,SPUTNIK 6,CIS,PAYLOAD,194.5,65.0,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
67,DISCOVERER 18,US,PAYLOAD,229.0,81.48,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
68,DISCOVERER 19,US,PAYLOAD,243.0,83.4,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
