NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_YEAR,AGE_YEARS,ALTITUDE_MEAN_KM,INCLINATION,APOGEE,PERIGEE,PERIOD,ORBIT_CLASS,LAUNCH_MASS_KG,MASS_SOURCE,EXPECTED_LIFETIME_YEARS,CONTRACTOR_TIER,OPERATOR_TIER,PURPOSE,DATA_COMPLETENESS_SCORE,MASS_ESTIMATED,TIER_INFERRED,PURPOSE_INFERRED,LIFETIME_ESTIMATED
2,SPUTNIK 1,CIS,PAYLOAD,D,1957-10-04,1957,68.02737850787132,572.0,65.0,1080.0,64.0,96.1,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
3,SPUTNIK 2,CIS,PAYLOAD,D,1957-11-03,1957,67.94524298425736,935.0,65.33,1659.0,211.0,103.74,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
4,EXPLORER 1,US,PAYLOAD,D,1958-02-01,1958,67.69883641341546,199.0,33.15,215.0,183.0,88.48,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
8,SPUTNIK 3,CIS,PAYLOAD,D,1958-05-15,1958,67.41683778234086,197.0,65.06,255.0,139.0,88.43,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
9,EXPLORER 4,US,PAYLOAD,D,1958-07-26,1958,67.21971252566735,412.0,50.25,585.0,239.0,92.81,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
10,SCORE,US,PAYLOAD,D,1958-12-18,1958,66.8227241615332,673.0,32.29,1187.0,159.0,98.21,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
11,VANGUARD 2,US,PAYLOAD,,1959-02-17,1959,66.65571526351813,1726.0,32.87,2899.0,553.0,121.0,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
13,DISCOVERER 1,US,PAYLOAD,D,1959-02-28,1959,66.62559890485969,405.5,90.0,697.0,114.0,92.7,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
14,DISCOVERER 2,US,PAYLOAD,D,1959-04-13,1959,66.50513347022587,292.5,89.9,346.0,239.0,90.4,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
18,DISCOVERER 5,US,PAYLOAD,D,1959-08-13,1959,66.17111567419576,230.0,79.99,323.0,137.0,89.1,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
