Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
TUBSAT-N,Technical University of Berlin,Germany,8.5 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,
TUBSAT-N1,Technical University of Berlin,Germany,3 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,
"Artemis JAK (MASat, Picosat 5)",Santa Clara University,US,0.2 kg,2000-01-27,No signal,Simple beacon transmitter.,
"Artemis Louise (Lightning, Picosat 8)",Santa Clara University,US,0.895 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,
"Artemis Thelma (Thunder, Picosat 7)",Santa Clara University,US,0.6 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,
ASUSat 1 (Arizona State University Satellite),Arizona State University,US,6 kg,2000-01-27,Was operational,Educational space systems engineering and Earth imaging.,
"MEMS 1A (Pico 21, PICOSAT-1, OPAL PICOSATS)",DARPA,US,0.275 kg,2000-01-27,Was operational,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
"MEMS 1B (Pico 23, Picosat 1, OPAL PICOSATS)",DARPA,US,0.275 kg,2000-01-27,Was operational,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
StenSat (Picosat 6),Stensat Group,US,0.2 kg,2000-01-27,No signal,Voice repeater for amateur radio operators.,
SNAP-1 (Surrey Nanosatellite Applications Platform),Surrey Satellite Technology,UK,6.5 kg,2000-06-28,Was operational,"SNAP-1 nanosatellite, weighing 6.3kg, had a number of firsts, including what we believe to be the first nanosat with propulsion.",
"MEMS 2A (Pico 20, PICOSAT 7, OPAL, MIGHTYSAT II.1 PICOSATS)",DARPA,US,0.275 kg,2000-07-19,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
"MEMS 2B (Pico 22, PICOSAT 8, OPAL, MIGHTYSAT II.1 PICOSATS)",DARPA,US,0.275 kg,2000-07-19,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
Munin,Swedish Institute of Space Physics,Sweden,6 kg,2000-11-21,Was operational,Collect data on auroral activity to predict space weather.,
MEPSI 1A (MEMS-based PicoSat Inspector),DARPA,US,0.8 kg,2002-11-23,"Reentered, Was semi-operational",Demonstrate technologies for miniature autonomous inspector.,
MEPSI 1B (MEMS-based PicoSat Inspector),DARPA,US,0.8 kg,2002-11-23,"Reentered, Was semi-operational",Demonstrate technologies for miniature autonomous inspector.,
"AAUSAT 1 (AAU-CubeSat, AAU CubeSat)",Aalborg University,Denmark,1U,2003-03-30,Was operational,Educational space systems engineering with ADCS and imaging.,
CanX-1,Space Flight Laboratory,Canada,1U,2003-03-30,No signal,Demonstrate novel technologies for ADCS.,
CUTE-I (Cubical Tokyo Tech Engineering Satellite-I),Tokyo Institute of Technology,Japan,1U,2003-03-30,Operational,Communication and solar panel deployment.,
DTUSat-1,Technical University of Denmark,Denmark,1U,2003-03-30,No signal,Tether deployment to test deorbiting method.,
QuakeSat,Stanford University,US,3U,2003-03-30,Was operational,Detecting earthquake ELF emission data. First 3U CubeSat.,
XI-IV,University of Tokyo,Japan,1U,2003-03-30,Operational,Demonstrate CubeSat platform technologies and COTS camera.,
UNOSAT 1 (Undergraduate Orbital Student Satellite),Universidade Norte do Paraná,Brazil,8.83 kg,2003-08-22,Launch failure,Simple beacon transmitter of telemetry packets.,
"TNS-0 (TEKh-42, Technologicesky Nanosputnik)",Moscow Russian Scientific Research Institute,Russia,4.5 kg,2005-02-28,"Reentered, Was operational",Testing Globalstar constellation to operate satellite.,
nCube-2,Norwegian University of Science and Technology (NTNU),Norway,1U,2005-10-27,"Deployment failure, On spacecraft",Educational space systems engineering and AIS receiver.,
UWE-1,University of Würzburg,Germany,1U,2005-10-27,Was operational,Demonstrate CubeSat platform technologies and solar cells.,
"XI-V (Cubesat-OSCAR-58, Cubesat XI-V)",University of Tokyo,Japan,1U,2005-10-27,Was operational,Demonstrate CubeSat platform technologies and COTS camera.,
CUTE-1.7+APD,Tokyo Institute of Technology,Japan,2U,2006-02-21,"Reentered, Was operational",Demonstration of PDA (Personal Digital Assistant) as an onboard computer and other experiments.,
AeroCube-1,Aerospace Corporation,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies and CMOS camera.,
CP1,California Polytechnic State University (Cal Poly),US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies with focus on sun sensor and magnetorquers.,
CP2,California Polytechnic State University (Cal Poly),US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies and energy dissipation experiment.,
"HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1)",Korea Aerospace University,South Korea,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies with focus on ADCS.,
ICECube 1 (Ionospheric sCintillation Experimental CubeSat),Cornell University,US,1U,2006-07-26,Launch failure,Educational space systems engineering and GPS scintillation experiment.,
ICECube 2 (Ionospheric sCintillation Experimental CubeSat),Cornell University,US,1U,2006-07-26,Launch failure,Educational space systems engineering and GPS scintillation experiment.,
ION,University of Illinois Urbana-Champaign,US,2U,2006-07-26,Launch failure,Measuring oxygen airglow emissions and testing thruster module.,
KUTESat,University of Kansas,US,1U,2006-07-26,Launch failure,Educational space systems engineering and taking photos.,
"Mea Huaka'i (Mea Huaka, Voyager)",University of Hawai’i at Mānoa,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat bus and test active antenna for high speed communication.,
MEROPE (Montana Earth-Orbiting Pico-Explorer),Montana State University,US,1U,2006-07-26,Launch failure,Measure the radiation of the Van Allen radiation belts.,
nCube-1,Norwegian University of Science and Technology (NTNU),Norway,1U,2006-07-26,Launch failure,Educational space systems engineering and AIS receiver.,
PicPoT (Small Satellite of Politecnico di Torino),Politecnico di Torino,Italy,2.5 kg,2006-07-26,Launch failure,Educational space systems engineering and taking photos.,
RinCon 1,University of Arizona,US,1U,2006-07-26,Launch failure,Independent low-power beacon system in analog form.,
SACRED (AlcatelSat),University of Arizona,US,1U,2006-07-26,Launch failure,Measure the total amount of radiation and test radiation effect on four commercial integrated circuits.,
SEEDS,Nihon University,Japan,1U,2006-07-26,Launch failure,Educational space systems engineering.,
HIT-Sat,Hokkaido Institute of Technology,Japan,2.7 kg,2006-09-22,"Reentered, Was operational",Demonstrate CubeSat platform technologies.,
RAFT1,US Naval Academy Satellite Lab,US,4 kg,2006-10-12,"Reentered, Operational",Calibrating of and tracking by Navy Space Surveillance (NSSS) radar fence.,
MARScom,US Naval Academy Satellite Lab,US,3 kg,2006-12-09,"Reentered, No signal",Educational space systems engineering with communications focus.,
MEPSI 2A (MEMS-based PicoSat Inspector),DARPA,US,1.1 kg,2006-12-09,"Reentered, Was operational",Demonstrate technologies for miniature autonomous inspector.,
MEPSI 2B (MEMS-based PicoSat Inspector),DARPA,US,1.4 kg,2006-12-09,"Reentered, Was operational",Demonstrate technologies for miniature autonomous inspector.,
GeneSat-1,NASA Ames Research Center,US,3U,2006-12-16,"Reentered, Operational","Perform experiment on E. Coli bacteria in space, first cubesat to carry a biological experiment.",
PehuenSat 1,National University of Comahue,Argentina,6 kg,2007-01-10,"Reentered, Was operational",Educational space systems engineering.,
AeroCube-2,Aerospace Corporation,US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies and CMOS camera.,
CAPE-1 (CAPE1),University of Louisiana at Lafayette,US,1U,2007-04-17,Was operational,Educational space systems engineering.,
CP3,California Polytechnic State University (Cal Poly),US,1U,2007-04-17,"Was operational, ?",Educational space systems engineering with focus on ADCS.,
CP4,California Polytechnic State University (Cal Poly),US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies and energy dissipation experiment. Backup model of CP2.,
CSTB-1 (CubeSat TestBed 1),Boeing,US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies.,
Libertad-1,Sergio Arboleda University,Colombia,1U,2007-04-17,Was operational,Educational space systems engineering and transmission of Colombian national anthem.,
MAST (Multi-Application Survivable Tether),Tethers Unlimited,US,3U,2007-04-17,Was semi-operational,3 tethered CubeSats with 1 km tether and middle one will crawl.,
"MEMS-Pico (ZDPS-1, Zheda Pixing, MEMS)",Zhejiang University,China,1 kg,2007-05-25,No signal,Educational space systems engineering.,
"AAUSAT2 (AAUSat-2, AAUSAT-II)",Aalborg University,Denmark,1U,2008-04-28,Operational,Education space systems engineering with focus on ADCS and gamma-ray experiment.,
CanX-2 (Canadian Advanced Nanospace eXperiments),Space Flight Laboratory,Canada,3U,2008-04-28,"Operational, ?, Unknown","ADCS technology demonstrations including propulsion module. Radio occultation experiment, atmospheric spectrometer and space materials experiment.",
"CanX-6 (NTS, Nanosatellite Tracking Ships)",Space Flight Laboratory,Canada,6.5 kg,2008-04-28,Was operational,AIS receiver to detect maritime vessels.,
Compass-1,Aachen University of Applied Sciences,Germany,1U,2008-04-28,Was operational,Demonstrate CubeSat platform technologies for educational purposes and GPS receiver. Camera to take photos.,
CUTE-1.7+APD-2 (CUTE1.7+APD-II),Tokyo Institute of Technology,Japan,3 kg,2008-04-28,Operational,Follow-on satellite to the Cute-1.7 + APD plus many improvements and camera.,
Delfi-C3,Delft University of Technology,Netherlands,3U,2008-04-28,"Reentered, Operational","Educational space systems engineering, transponder for radio amateurs and demonstrate thin-film solar cells and sun sensors.",
"SEEDS-2 (SEEDS-II, Space Engineering EDucation Satellite-2)",Nihon University,Japan,1U,2008-04-28,Operational,Demonstrate the reception of spacecraft parameter data.,
NanoSail-D,NASA Marshall Space Flight Center,US,3U,2008-08-03,Launch failure,Deploy solar sail for deorbiting.,
PreSat (PharmaSat Risk Evaluation Satellite),NASA Ames Research Center,US,3U,2008-08-03,Launch failure,Demonstrate CubeSat platform for space science laboratory experiments.,
"PSSC (PSSCT, PSSCT-1, Pico Satellite Solar Cell Testbed)",Aerospace Corporation,US,6.5 kg,2008-11-29,"Reentered, Was operational",Monitor accelerated radiation degradation of triple-junction solar cells in a high radiation environment.,
"KKS-1 (Kouku Kosen Satellite-1, KISEKI)",Tokyo Metropolitan College of Industrial Technology,Japan,3.17 kg,2009-01-23,Operational,Educational space systems engineering and demonstrate laser ignition thruster and reaction wheels.,
"PRISM (Picosatellite for Remote¿sensing and Innovative Space Missions, HITOMI)",University of Tokyo,Japan,8.5 kg,2009-01-23,"Reentered, Operational",Deployable telescope demonstration and COTS components.,
