date,year,doy,hour,B_total_nT,By_nT,Bz_nT,plasma_speed,flow_pressure,Bt_nT,Ey_mVpm,Newell_index,Pdyn_nPa,R_drag,R_SEU,R_ctrl,LEO_RiskScore_0_100
2000-01-01 00:00:00,2000,1,0,-2.9,23.0,15.0,41.0,7.5,27.459060435491963,0.615,178.04444276741037,7.5,0.19453713170184384,0.4174242423904778,0.05588368922370381,21.980723216499204
2000-01-01 06:00:00,2000,1,6,-2.9,23.0,43.0,12.0,6.9,48.76474136094644,0.516,8.443143162918732,6.9,0.1510980892912242,0.2882909356031768,0.04688777827549783,16.099284988009206
2000-01-01 09:00:00,2000,1,9,-2.9,23.0,50.0,2.0,6.9,55.036351623268054,0.1,0.5966527323039784,6.9,0.1500347269475562,0.2591328515754777,0.009086778735561594,14.047977987233429
2000-01-01 10:00:00,2000,1,10,-2.9,23.0,52.0,31.0,6.2,56.859475903318,1.612,21.51260187238437,6.2,0.12900563590269515,0.31724051409424653,0.14647887321725292,19.071807055452787
2000-01-01 11:00:00,2000,1,11,-2.9,23.0,63.0,30.0,5.9,67.06713054842886,1.89,14.548984418493685,5.9,0.11783464844938824,0.3036573498583691,0.17174011810211415,18.97530997679003
2000-01-01 13:00:00,2000,1,13,-2.9,23.0,72.0,71.0,6.0,75.58438992278762,5.112,35.80167888565482,6.0,0.12412392065668659,0.451676097970121,0.46451612896190875,32.45072363422835
2000-01-01 14:00:00,2000,1,14,-2.9,23.0,74.0,61.0,5.8,77.4919350642375,4.514,27.77476078665198,5.8,0.11621792480093149,0.4082490535720602,0.4101771921232504,29.20150436289658
2000-01-01 15:00:00,2000,1,15,-2.9,23.0,73.0,83.0,5.8,76.53757247260981,6.059,42.962360427901906,5.8,0.11827615984142784,0.4809470314566163,0.550567923587677,35.67649504498591
2000-01-01 16:00:00,2000,1,16,-2.9,23.0,84.0,31.0,5.9,87.09190547921202,2.604,8.85982916087083,5.9,0.11706364980716305,0.32032193690813404,0.23661971827402392,21.39079564775126
2000-01-01 17:00:00,2000,1,17,-2.9,23.0,84.0,31.0,5.9,87.09190547921202,2.604,8.85982916087083,5.9,0.11706364980716305,0.32032193690813404,0.23661971827402392,21.39079564775126
2000-01-01 23:00:00,2000,1,23,-3.0,24.0,14.0,81.0,5.8,27.784887978899608,1.1340000000000001,501.11636503788424,5.8,0.18036553857846077,0.45416666664239685,0.1030440708612685,23.930943668248393
2000-01-02 00:00:00,2000,2,0,-3.0,24.0,13.0,52.0,5.8,27.294688127912362,0.676,294.7668356318886,5.8,0.1524008936019226,0.35749999997680426,0.06142662425239638,18.66383447095292
2000-01-02 01:00:00,2000,2,1,-3.0,24.0,22.0,63.0,5.5,32.55764119219941,1.3860000000000001,225.97894711502258,5.5,0.13285143396994772,0.37712121209954597,0.12594275327488372,20.4059763200308
2000-01-02 02:00:00,2000,2,2,-3.0,24.0,22.0,63.0,5.4,32.55764119219941,1.3860000000000001,225.97894711502258,5.4,0.12944234306124425,0.37143939391837344,0.12594275327488372,20.099158138247486
2000-01-02 05:00:00,2000,2,5,-3.0,24.0,31.0,14.0,5.3,39.20459156782532,0.434,19.200625898184942,5.3,0.09801049698406968,0.2024242424056824,0.03943661971233732,11.176245742903381
2000-01-02 06:00:00,2000,2,6,-3.0,24.0,43.0,40.0,4.9,49.24428900898052,1.72,46.46365900274174,4.9,0.08806884030568636,0.26830715840661057,0.15629259425165942,16.260746191975556
2000-01-02 08:00:00,2000,2,8,-3.0,24.0,52.0,20.0,4.8,57.271284253105414,1.04,13.302419319516705,4.8,0.08016571300449502,0.20130254936087327,0.09450249884984059,12.080779966501218
2000-01-02 10:00:00,2000,2,10,-3.0,24.0,53.0,80.0,5.3,58.180752831155424,4.24,81.67408193169011,5.3,0.10647694720309098,0.43031710806143264,0.38527941838781166,28.726973681600963
2000-01-02 11:00:00,2000,2,11,-3.0,24.0,62.0,31.0,4.4,66.48308055437865,1.922,17.40751980158982,4.4,0.0670856757054117,0.22137458619611705,0.17464788729749384,14.564101233024793
2000-01-02 12:00:00,2000,2,12,-3.0,24.0,60.0,71.0,4.5,64.62197768561404,4.260000000000001,55.78123174146791,4.5,0.07569520120642909,0.35915073079786736,0.387096774134924,25.415233196240905
2000-01-02 13:00:00,2000,2,13,-3.0,24.0,70.0,41.0,4.6,74.0,2.87,20.211443102122193,4.6,0.07428384733848023,0.2710758548482031,0.2607905497106178,18.927346030303838
2000-01-02 15:00:00,2000,2,15,-3.0,24.0,72.0,40.0,5.7,75.8946638440411,2.88,18.557770724728346,5.7,0.11155974039743813,0.33150387123581093,0.26169922758417397,22.25848258049707
2000-01-02 16:00:00,2000,2,16,-3.1,24.0,82.0,20.0,5.9,85.44003745317531,1.6400000000000001,5.767353982495036,5.9,0.1166445552218205,0.28255555891741113,0.14902317126321016,17.613144114291458
2000-01-02 17:00:00,2000,2,17,-3.1,24.0,80.0,53.0,5.9,83.5224520712844,4.24,22.160818559279523,5.9,0.11886620999440421,0.391278949449299,0.38527941838781166,28.05139943488949
2000-01-02 22:00:00,2000,2,22,-3.1,25.0,3.0,1.0,4.7,25.179356624028344,0.003,2.8786940613859007,4.7,0.07534399093052689,0.12499999998579546,0.00027260336206684786,6.771937737656944
2000-01-03 04:00:00,2000,3,4,-3.1,25.0,32.0,83.0,5.0,40.607881008493905,2.656,214.5452564891903,5.0,0.11425647698732413,0.4153787878596093,0.241344843216516,24.271968011776725
2000-01-03 07:00:00,2000,3,7,-3.1,25.0,42.0,50.0,4.6,48.877397639399746,2.1,71.51768948275549,4.6,0.08123690882228082,0.28435078366755584,0.19082235344679352,17.504670466321713
2000-01-03 09:00:00,2000,3,9,-3.1,25.0,53.0,50.0,4.3,58.60034129593445,2.6500000000000004,48.18803762115473,4.3,0.06784798395374025,0.2737782622383544,0.2407996364923823,18.151256320071713
2000-01-03 10:00:00,2000,3,10,-3.1,25.0,62.0,41.0,4.2,66.85057965343307,2.5420000000000003,27.9679016753435,4.2,0.06169864486162839,0.24358894128384254,0.23098591545797575,16.705191496719685
2000-01-03 11:00:00,2000,3,11,-3.1,25.0,61.0,61.0,3.8,65.92419889539804,3.721,48.919723495516294,3.8,0.05090168803573431,0.2869116083471929,0.33811903675024696,20.78698687435257
