NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_SITE,LAUNCH_YEAR,PERIOD,INCLINATION,APOGEE,PERIGEE,ALTITUDE_MEAN_KM,ORBIT_CLASS
2,SPUTNIK 1,CIS,PAYLOAD,D,1957-10-04,TYMSC,1957,96.1,65.0,1080.0,64.0,572.0,LEO
3,SPUTNIK 2,CIS,PAYLOAD,D,1957-11-03,TYMSC,1957,103.74,65.33,1659.0,211.0,935.0,LEO
4,EXPLORER 1,US,PAYLOAD,D,1958-02-01,AFETR,1958,88.48,33.15,215.0,183.0,199.0,LEO
8,SPUTNIK 3,CIS,PAYLOAD,D,1958-05-15,TYMSC,1958,88.43,65.06,255.0,139.0,197.0,LEO
9,EXPLORER 4,US,PAYLOAD,D,1958-07-26,AFETR,1958,92.81,50.25,585.0,239.0,412.0,LEO
10,SCORE,US,PAYLOAD,D,1958-12-18,AFETR,1958,98.21,32.29,1187.0,159.0,673.0,LEO
11,VANGUARD 2,US,PAYLOAD,,1959-02-17,AFETR,1959,121.0,32.87,2899.0,553.0,1726.0,LEO
13,DISCOVERER 1,US,PAYLOAD,D,1959-02-28,AFWTR,1959,92.7,90.0,697.0,114.0,405.5,LEO
14,DISCOVERER 2,US,PAYLOAD,D,1959-04-13,AFWTR,1959,90.4,89.9,346.0,239.0,292.5,LEO
18,DISCOVERER 5,US,PAYLOAD,D,1959-08-13,AFWTR,1959,89.1,79.99,323.0,137.0,230.0,LEO
19,DISCOVERER 6,US,PAYLOAD,D,1959-08-19,AFWTR,1959,90.92,84.0,469.0,171.0,320.0,LEO
20,VANGUARD 3,US,PAYLOAD,,1959-09-18,AFETR,1959,124.01,33.34,3210.0,509.0,1859.5,LEO
22,EXPLORER 7,US,PAYLOAD,,1959-10-13,AFETR,1959,94.63,50.27,560.0,441.0,500.5,LEO
24,DISCOVERER 7,US,PAYLOAD,D,1959-11-07,AFWTR,1959,91.54,81.64,539.0,161.0,350.0,LEO
25,DISCOVERER 8,US,PAYLOAD,D,1959-11-20,AFWTR,1959,88.03,80.65,239.0,115.0,177.0,LEO
26,DISCOVERER 5 CAPSULE,US,PAYLOAD,D,1959-08-13,AFWTR,1959,88.73,78.94,280.0,143.0,211.5,LEO
29,TIROS 1,US,PAYLOAD,-,1960-04-01,AFETR,1960,97.41,48.38,651.0,619.0,635.0,LEO
31,TRANSIT 1B,US,PAYLOAD,D,1960-04-13,AFETR,1960,88.7,51.2,220.0,201.0,210.5,LEO
32,DISCOVERER 11,US,PAYLOAD,D,1960-04-15,AFWTR,1960,89.7,80.1,377.0,142.0,259.5,LEO
34,SPUTNIK 4,CIS,PAYLOAD,D,1960-05-15,TYMSC,1960,87.82,64.96,167.0,167.0,167.0,LEO
36,SPUTNIK 4 CABIN,CIS,PAYLOAD,D,1960-05-15,TYMSC,1960,88.26,64.96,206.0,171.0,188.5,LEO
43,MIDAS 2,US,PAYLOAD,D,1960-05-24,AFETR,1960,87.82,33.05,168.0,165.0,166.5,LEO
45,TRANSIT 2A,US,PAYLOAD,,1960-06-22,AFETR,1960,100.3,66.69,953.0,593.0,773.0,LEO
