CDM_ID,CREATED,EMERGENCY_REPORTABLE,MIN_RNG,PC,SAT1_OBJECT_TYPE,SAT1_RCS,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_1_EXCL_VOL,SAT_1_ID,SAT_1_NAME,SAT_2_EXCL_VOL,SAT_2_ID,SAT_2_NAME,TCA
1180617316,2025-10-06 23:33:39.000000,Y,188,0.0001423334,DEBRIS,SMALL,DEBRIS,SMALL,1.00,54296,CZ-6A DEB,1.00,33823,COSMOS 2251 DEB,2025-10-08T02:57:17.907000
1180578109,2025-10-06 23:29:18.000000,Y,93,0.0001021672,DEBRIS,SMALL,DEBRIS,SMALL,1.00,42182,COSMOS 1275 DEB,1.00,12963,COSMOS 1275 DEB,2025-10-07T11:26:08.007000
1180569817,2025-10-06 23:27:15.000000,Y,124,0.01577745,ROCKET BODY,LARGE,PAYLOAD,LARGE,3.00,39154,CZ-2D R/B,5.00,28230,GP-B,2025-10-09T11:51:54.797000
1180560573,2025-10-06 23:25:28.000000,Y,188,0.0001423334,DEBRIS,SMALL,DEBRIS,SMALL,1.00,33823,COSMOS 2251 DEB,1.00,54296,CZ-6A DEB,2025-10-08T02:57:17.907000
1180560308,2025-10-06 23:25:25.000000,Y,131,0.001144113,DEBRIS,MEDIUM,ROCKET BODY,LARGE,1.00,33775,IRIDIUM 33 DEB,3.00,5707,SL-8 R/B,2025-10-09T06:23:34.052000
1180555207,2025-10-06 23:24:26.000000,Y,205,0.0005298954,DEBRIS,SMALL,PAYLOAD,LARGE,1.00,31005,FENGYUN 1C DEB,5.00,15099,METEOR 2-11,2025-10-08T21:37:27.742000
1180554073,2025-10-06 23:24:06.000000,Y,36,0.002364558,DEBRIS,SMALL,ROCKET BODY,LARGE,1.00,30703,FENGYUN 1C DEB,3.00,9904,SL-3 R/B,2025-10-07T16:33:32.910000
1180552775,2025-10-06 23:23:49.000000,Y,53,0.0001347897,DEBRIS,SMALL,DEBRIS,SMALL,1.00,30294,FENGYUN 1C DEB,1.00,15767,COSMOS 1275 DEB,2025-10-08T20:59:11.104000
1180549719,2025-10-06 23:23:12.000000,Y,124,0.01577745,PAYLOAD,LARGE,ROCKET BODY,LARGE,5.00,28230,GP-B,3.00,39154,CZ-2D R/B,2025-10-09T11:51:54.797000
1180548718,2025-10-06 23:22:59.000000,Y,165,0.0001205875,DEBRIS,SMALL,UNKNOWN,SMALL,1.00,26861,DELTA 1 DEB,3.00,270170,UNKNOWN,2025-10-09T14:45:15.493000
1180548311,2025-10-06 23:22:54.000000,Y,108,0.0004696956,PAYLOAD,LARGE,UNKNOWN,SMALL,5.00,26366,SIMSAT 2,3.00,87690,UNKNOWN,2025-10-07T20:40:04.333000
1180543475,2025-10-06 23:21:42.000000,Y,116,0.0005056169,ROCKET BODY,LARGE,DEBRIS,SMALL,3.00,18710,SL-8 R/B,1.00,4734,THORAD AGENA D DEB,2025-10-07T17:21:34.800000
1180542903,2025-10-06 23:21:36.000000,Y,181,0.0003167583,DEBRIS,SMALL,ROCKET BODY,LARGE,1.00,17618,COSMOS 1275 DEB,3.00,10515,SL-3 R/B,2025-10-08T10:40:08.267000
1180542247,2025-10-06 23:21:28.000000,Y,53,0.0001347897,DEBRIS,SMALL,DEBRIS,SMALL,1.00,15767,COSMOS 1275 DEB,1.00,30294,FENGYUN 1C DEB,2025-10-08T20:59:11.104000
1180542058,2025-10-06 23:21:26.000000,Y,205,0.0005298954,PAYLOAD,LARGE,DEBRIS,SMALL,5.00,15099,METEOR 2-11,1.00,31005,FENGYUN 1C DEB,2025-10-08T21:37:27.742000
1180540790,2025-10-06 23:21:10.000000,Y,147,0.003465395,DEBRIS,SMALL,PAYLOAD,MEDIUM,1.00,13619,COSMOS 1275 DEB,5.00,1292,GGSE 3,2025-10-08T01:45:34.442000
1180540188,2025-10-06 23:21:04.000000,Y,93,0.0001021672,DEBRIS,SMALL,DEBRIS,SMALL,1.00,12963,COSMOS 1275 DEB,1.00,42182,COSMOS 1275 DEB,2025-10-07T11:26:08.007000
1180539082,2025-10-06 23:20:50.000000,Y,181,0.0003167583,ROCKET BODY,LARGE,DEBRIS,SMALL,3.00,10515,SL-3 R/B,1.00,17618,COSMOS 1275 DEB,2025-10-08T10:40:08.267000
